region_name,date,spi
Amoron'i Mania,2024-01-01,0.11
Amoron'i Mania,2024-02-01,0.06
Amoron'i Mania,2024-03-01,0.08
Amoron'i Mania,2024-04-01,-0.27
Amoron'i Mania,2024-05-01,-0.3
Amoron'i Mania,2024-06-01,-0.22
Amoron'i Mania,2024-07-01,0.03
Amoron'i Mania,2024-08-01,-0.5
Amoron'i Mania,2024-09-01,-0.27
Amoron'i Mania,2024-10-01,-0.25
Amoron'i Mania,2024-11-01,0.05
Amoron'i Mania,2024-12-01,-0.73
Menabe,2024-01-01,-0.87
Menabe,2024-02-01,-1.08
Menabe,2024-03-01,-0.59
Menabe,2024-04-01,-0.37
Menabe,2024-05-01,-0.06
Menabe,2024-06-01,-0.95
Menabe,2024-07-01,-0.18
Menabe,2024-08-01,-0.5
Menabe,2024-09-01,-0.23
Menabe,2024-10-01,-0.35
Menabe,2024-11-01,-0.12
Menabe,2024-12-01,-0.4
Matsiatra Ambony,2024-01-01,-0.27
Matsiatra Ambony,2024-02-01,-0.12
Matsiatra Ambony,2024-03-01,0.3
Matsiatra Ambony,2024-04-01,0.06
Matsiatra Ambony,2024-05-01,0.51
Matsiatra Ambony,2024-06-01,-0.04
Matsiatra Ambony,2024-07-01,0.1
Matsiatra Ambony,2024-08-01,-0.32
Matsiatra Ambony,2024-09-01,-0.64
Matsiatra Ambony,2024-10-01,-0.22
Matsiatra Ambony,2024-11-01,-0.75
Matsiatra Ambony,2024-12-01,-2.26
Vatovavy-Fitovinany,2024-01-01,-0.57
Vatovavy-Fitovinany,2024-02-01,-0.24
Vatovavy-Fitovinany,2024-03-01,0.08
Vatovavy-Fitovinany,2024-04-01,0.5
Vatovavy-Fitovinany,2024-05-01,0.54
Vatovavy-Fitovinany,2024-06-01,0.48
Vatovavy-Fitovinany,2024-07-01,-1.06
Vatovavy-Fitovinany,2024-08-01,-2.07
Vatovavy-Fitovinany,2024-09-01,-1.96
Vatovavy-Fitovinany,2024-10-01,-0.65
Vatovavy-Fitovinany,2024-11-01,-1.1
Vatovavy-Fitovinany,2024-12-01,-2.58
